coach,tm,seas,birth_year,player_id
Lloyd Pierce,ATL,2021,1976,NA
Nate McMillan,ATL,2021,1964,2329
Brad Stevens,BOS,2021,1976,NA
Steve Nash,BRK,2021,1974,3028
Billy Donovan,CHI,2021,1965,2346
James Borrego,CHO,2021,1977,NA
J.B. Bickerstaff,CLE,2021,1979,NA
Rick Carlisle,DAL,2021,1959,2200
Michael Malone,DEN,2021,1971,NA
Dwane Casey,DET,2021,1957,NA
Steve Kerr,GSW,2021,1965,2467
Stephen Silas,HOU,2021,NA,NA
Nate Bjorkgren,IND,2021,1975,NA
Tyronn Lue,LAC,2021,1977,3164
Frank Vogel,LAL,2021,1973,NA
Taylor Jenkins,MEM,2021,1984,NA
Erik Spoelstra,MIA,2021,1970,NA
Mike Budenholzer,MIL,2021,1969,NA
Ryan Saunders,MIN,2021,1986,NA
Chris Finch,MIN,2021,1969,NA
Stan Van Gundy,NOP,2021,1959,NA
Tom Thibodeau,NYK,2021,1958,NA
Mark Daigneault,OKC,2021,1985,NA
Steve Clifford,ORL,2021,1961,NA
Doc Rivers,PHI,2021,1961,2118
Monty Williams,PHO,2021,1971,2880
Terry Stotts,POR,2021,1957,NA
Luke Walton,SAC,2021,1980,3466
Gregg Popovich,SAS,2021,1949,NA
Nick Nurse,TOR,2021,1967,NA
Quin Snyder,UTA,2021,1966,NA
Scott Brooks,WAS,2021,1965,2465
Lloyd Pierce,ATL,2020,1976,NA
Brad Stevens,BOS,2020,1976,NA
Kenny Atkinson,BRK,2020,1967,NA
Jacque Vaughn,BRK,2020,1975,3063
Jim Boylen,CHI,2020,1965,NA
James Borrego,CHO,2020,1977,NA
John Beilein,CLE,2020,1953,NA
J.B. Bickerstaff,CLE,2020,1979,NA
Rick Carlisle,DAL,2020,1959,2200
Michael Malone,DEN,2020,1971,NA
Dwane Casey,DET,2020,1957,NA
Steve Kerr,GSW,2020,1965,2467
Mike D'Antoni,HOU,2020,1951,1527
Nate McMillan,IND,2020,1964,2329
Doc Rivers,LAC,2020,1961,2118
Frank Vogel,LAL,2020,1973,NA
Taylor Jenkins,MEM,2020,1984,NA
Erik Spoelstra,MIA,2020,1970,NA
Mike Budenholzer,MIL,2020,1969,NA
Ryan Saunders,MIN,2020,1986,NA
Alvin Gentry,NOP,2020,1954,NA
David Fizdale,NYK,2020,1974,NA
Mike Miller,NYK,2020,1964,3276
Billy Donovan,OKC,2020,1965,2346
Steve Clifford,ORL,2020,1961,NA
Brett Brown,PHI,2020,1961,NA
Monty Williams,PHO,2020,1971,2880
Terry Stotts,POR,2020,1957,NA
Luke Walton,SAC,2020,1980,3466
Gregg Popovich,SAS,2020,1949,NA
Nick Nurse,TOR,2020,1967,NA
Quin Snyder,UTA,2020,1966,NA
Scott Brooks,WAS,2020,1965,2465
Lloyd Pierce,ATL,2019,1976,NA
Brad Stevens,BOS,2019,1976,NA
Kenny Atkinson,BRK,2019,1967,NA
Fred Hoiberg,CHI,2019,1972,2922
Jim Boylen,CHI,2019,1965,NA
James Borrego,CHO,2019,1977,NA
Tyronn Lue,CLE,2019,1977,3164
Larry Drew,CLE,2019,1958,1941
Rick Carlisle,DAL,2019,1959,2200
Michael Malone,DEN,2019,1971,NA
Dwane Casey,DET,2019,1957,NA
Steve Kerr,GSW,2019,1965,2467
Mike D'Antoni,HOU,2019,1951,1527
Nate McMillan,IND,2019,1964,2329
Doc Rivers,LAC,2019,1961,2118
Luke Walton,LAL,2019,1980,3466
J.B. Bickerstaff,MEM,2019,1979,NA
Erik Spoelstra,MIA,2019,1970,NA
Mike Budenholzer,MIL,2019,1969,NA
Tom Thibodeau,MIN,2019,1958,NA
Ryan Saunders,MIN,2019,1986,NA
Alvin Gentry,NOP,2019,1954,NA
David Fizdale,NYK,2019,1974,NA
Billy Donovan,OKC,2019,1965,2346
Steve Clifford,ORL,2019,1961,NA
Brett Brown,PHI,2019,1961,NA
Igor Kokoskov,PHO,2019,1971,NA
Terry Stotts,POR,2019,1957,NA
Dave Joerger,SAC,2019,1974,NA
Gregg Popovich,SAS,2019,1949,NA
Nick Nurse,TOR,2019,1967,NA
Quin Snyder,UTA,2019,1966,NA
Scott Brooks,WAS,2019,1965,2465
Mike Budenholzer,ATL,2018,1969,NA
Brad Stevens,BOS,2018,1976,NA
Kenny Atkinson,BRK,2018,1967,NA
Fred Hoiberg,CHI,2018,1972,2922
Steve Clifford,CHO,2018,1961,NA
Tyronn Lue,CLE,2018,1977,3164
Rick Carlisle,DAL,2018,1959,2200
Michael Malone,DEN,2018,1971,NA
Stan Van Gundy,DET,2018,1959,NA
Steve Kerr,GSW,2018,1965,2467
Mike D'Antoni,HOU,2018,1951,1527
Nate McMillan,IND,2018,1964,2329
Doc Rivers,LAC,2018,1961,2118
Luke Walton,LAL,2018,1980,3466
David Fizdale,MEM,2018,1974,NA
J.B. Bickerstaff,MEM,2018,1979,NA
Erik Spoelstra,MIA,2018,1970,NA
Jason Kidd,MIL,2018,1973,2870
Joe Prunty,MIL,2018,1969,NA
Tom Thibodeau,MIN,2018,1958,NA
Alvin Gentry,NOP,2018,1954,NA
Jeff Hornacek,NYK,2018,1963,2309
Billy Donovan,OKC,2018,1965,2346
Frank Vogel,ORL,2018,1973,NA
Brett Brown,PHI,2018,1961,NA
Earl Watson,PHO,2018,1979,3311
Jay Triano,PHO,2018,1958,NA
Terry Stotts,POR,2018,1957,NA
Dave Joerger,SAC,2018,1974,NA
Gregg Popovich,SAS,2018,1949,NA
Dwane Casey,TOR,2018,1957,NA
Quin Snyder,UTA,2018,1966,NA
Scott Brooks,WAS,2018,1965,2465
Mike Budenholzer,ATL,2017,1969,NA
Brad Stevens,BOS,2017,1976,NA
Kenny Atkinson,BRK,2017,1967,NA
Fred Hoiberg,CHI,2017,1972,2922
Steve Clifford,CHO,2017,1961,NA
Tyronn Lue,CLE,2017,1977,3164
Rick Carlisle,DAL,2017,1959,2200
Michael Malone,DEN,2017,1971,NA
Stan Van Gundy,DET,2017,1959,NA
Steve Kerr,GSW,2017,1965,2467
Mike D'Antoni,HOU,2017,1951,1527
Nate McMillan,IND,2017,1964,2329
Doc Rivers,LAC,2017,1961,2118
Luke Walton,LAL,2017,1980,3466
David Fizdale,MEM,2017,1974,NA
Erik Spoelstra,MIA,2017,1970,NA
Jason Kidd,MIL,2017,1973,2870
Tom Thibodeau,MIN,2017,1958,NA
Alvin Gentry,NOP,2017,1954,NA
Jeff Hornacek,NYK,2017,1963,2309
Billy Donovan,OKC,2017,1965,2346
Frank Vogel,ORL,2017,1973,NA
Brett Brown,PHI,2017,1961,NA
Earl Watson,PHO,2017,1979,3311
Terry Stotts,POR,2017,1957,NA
Dave Joerger,SAC,2017,1974,NA
Gregg Popovich,SAS,2017,1949,NA
Dwane Casey,TOR,2017,1957,NA
Quin Snyder,UTA,2017,1966,NA
Scott Brooks,WAS,2017,1965,2465
Mike Budenholzer,ATL,2016,1969,NA
Brad Stevens,BOS,2016,1976,NA
Lionel Hollins,BRK,2016,1953,1670
Tony Brown,BRK,2016,1960,2213
Fred Hoiberg,CHI,2016,1972,2922
Steve Clifford,CHO,2016,1961,NA
David Blatt,CLE,2016,1959,NA
Tyronn Lue,CLE,2016,1977,3164
Rick Carlisle,DAL,2016,1959,2200
Michael Malone,DEN,2016,1971,NA
Stan Van Gundy,DET,2016,1959,NA
Steve Kerr,GSW,2016,1965,2467
Kevin McHale,HOU,2016,1957,1938
J.B. Bickerstaff,HOU,2016,1979,NA
Frank Vogel,IND,2016,1973,NA
Doc Rivers,LAC,2016,1961,2118
Byron Scott,LAL,2016,1961,2107
Dave Joerger,MEM,2016,1974,NA
Erik Spoelstra,MIA,2016,1970,NA
Jason Kidd,MIL,2016,1973,2870
Sam Mitchell,MIN,2016,1963,2539
Alvin Gentry,NOP,2016,1954,NA
Derek Fisher,NYK,2016,1974,2979
Kurt Rambis,NYK,2016,1958,2017
Billy Donovan,OKC,2016,1965,2346
Scott Skiles,ORL,2016,1964,2338
Brett Brown,PHI,2016,1961,NA
Jeff Hornacek,PHO,2016,1963,2309
Earl Watson,PHO,2016,1979,3311
Terry Stotts,POR,2016,1957,NA
George Karl,SAC,2016,1951,1505
Gregg Popovich,SAS,2016,1949,NA
Dwane Casey,TOR,2016,1957,NA
Quin Snyder,UTA,2016,1966,NA
Randy Wittman,WAS,2016,1959,2144
Mike Budenholzer,ATL,2015,1969,NA
Brad Stevens,BOS,2015,1976,NA
Lionel Hollins,BRK,2015,1953,1670
Tom Thibodeau,CHI,2015,1958,NA
Steve Clifford,CHO,2015,1961,NA
David Blatt,CLE,2015,1959,NA
Rick Carlisle,DAL,2015,1959,2200
Brian Shaw,DEN,2015,1966,2410
Melvin Hunt,DEN,2015,1969,NA
Stan Van Gundy,DET,2015,1959,NA
Steve Kerr,GSW,2015,1965,2467
Kevin McHale,HOU,2015,1957,1938
Frank Vogel,IND,2015,1973,NA
Doc Rivers,LAC,2015,1961,2118
Byron Scott,LAL,2015,1961,2107
Dave Joerger,MEM,2015,1974,NA
Erik Spoelstra,MIA,2015,1970,NA
Jason Kidd,MIL,2015,1973,2870
Flip Saunders,MIN,2015,1955,NA
Monty Williams,NOP,2015,1971,2880
Derek Fisher,NYK,2015,1974,2979
Scott Brooks,OKC,2015,1965,2465
Jacque Vaughn,ORL,2015,1975,3063
James Borrego,ORL,2015,1977,NA
Brett Brown,PHI,2015,1961,NA
Jeff Hornacek,PHO,2015,1963,2309
Terry Stotts,POR,2015,1957,NA
Michael Malone,SAC,2015,1971,NA
Tyrone Corbin,SAC,2015,1962,2274
George Karl,SAC,2015,1951,1505
Gregg Popovich,SAS,2015,1949,NA
Dwane Casey,TOR,2015,1957,NA
Quin Snyder,UTA,2015,1966,NA
Randy Wittman,WAS,2015,1959,2144
Mike Budenholzer,ATL,2014,1969,NA
Brad Stevens,BOS,2014,1976,NA
Jason Kidd,BRK,2014,1973,2870
Steve Clifford,CHA,2014,1961,NA
Tom Thibodeau,CHI,2014,1958,NA
Mike Brown,CLE,2014,1970,2327
Rick Carlisle,DAL,2014,1959,2200
Brian Shaw,DEN,2014,1966,2410
Maurice Cheeks,DET,2014,1956,1822
John Loyer,DET,2014,1964,NA
Mark Jackson,GSW,2014,1965,2373
Kevin McHale,HOU,2014,1957,1938
Frank Vogel,IND,2014,1973,NA
Doc Rivers,LAC,2014,1961,2118
Mike D'Antoni,LAL,2014,1951,1527
Dave Joerger,MEM,2014,1974,NA
Erik Spoelstra,MIA,2014,1970,NA
Larry Drew,MIL,2014,1958,1941
Rick Adelman,MIN,2014,1946,1139
Monty Williams,NOP,2014,1971,2880
Mike Woodson,NYK,2014,1958,1954
Scott Brooks,OKC,2014,1965,2465
Jacque Vaughn,ORL,2014,1975,3063
Brett Brown,PHI,2014,1961,NA
Jeff Hornacek,PHO,2014,1963,2309
Terry Stotts,POR,2014,1957,NA
Michael Malone,SAC,2014,1971,NA
Gregg Popovich,SAS,2014,1949,NA
Dwane Casey,TOR,2014,1957,NA
Tyrone Corbin,UTA,2014,1962,2274
Randy Wittman,WAS,2014,1959,2144
Larry Drew,ATL,2013,1958,1941
Doc Rivers,BOS,2013,1961,2118
Avery Johnson,BRK,2013,1965,2406
P.J. Carlesimo,BRK,2013,1949,NA
Mike Dunlap,CHA,2013,1957,NA
Tom Thibodeau,CHI,2013,1958,NA
Byron Scott,CLE,2013,1961,2107
Rick Carlisle,DAL,2013,1959,2200
George Karl,DEN,2013,1951,1505
Lawrence Frank,DET,2013,1970,NA
Mark Jackson,GSW,2013,1965,2373
Kevin McHale,HOU,2013,1957,1938
Frank Vogel,IND,2013,1973,NA
Vinny Del Negro,LAC,2013,1966,2475
Mike Brown,LAL,2013,1970,2327
Bernie Bickerstaff,LAL,2013,1944,NA
Mike D'Antoni,LAL,2013,1951,1527
Lionel Hollins,MEM,2013,1953,1670
Erik Spoelstra,MIA,2013,1970,NA
Scott Skiles,MIL,2013,1964,2338
Jim Boylan,MIL,2013,1955,NA
Rick Adelman,MIN,2013,1946,1139
Monty Williams,NOH,2013,1971,2880
Mike Woodson,NYK,2013,1958,1954
Scott Brooks,OKC,2013,1965,2465
Jacque Vaughn,ORL,2013,1975,3063
Doug Collins,PHI,2013,1951,1499
Alvin Gentry,PHO,2013,1954,NA
Lindsey Hunter,PHO,2013,1970,2806
Terry Stotts,POR,2013,1957,NA
Keith Smart,SAC,2013,1964,2440
Gregg Popovich,SAS,2013,1949,NA
Dwane Casey,TOR,2013,1957,NA
Tyrone Corbin,UTA,2013,1962,2274
Randy Wittman,WAS,2013,1959,2144
Larry Drew,ATL,2012,1958,1941
Doc Rivers,BOS,2012,1961,2118
Paul Silas,CHA,2012,1943,834
Tom Thibodeau,CHI,2012,1958,NA
Byron Scott,CLE,2012,1961,2107
Rick Carlisle,DAL,2012,1959,2200
George Karl,DEN,2012,1951,1505
Lawrence Frank,DET,2012,1970,NA
Mark Jackson,GSW,2012,1965,2373
Kevin McHale,HOU,2012,1957,1938
Frank Vogel,IND,2012,1973,NA
Vinny Del Negro,LAC,2012,1966,2475
Mike Brown,LAL,2012,1970,2327
Lionel Hollins,MEM,2012,1953,1670
Erik Spoelstra,MIA,2012,1970,NA
Scott Skiles,MIL,2012,1964,2338
Rick Adelman,MIN,2012,1946,1139
Avery Johnson,NJN,2012,1965,2406
Monty Williams,NOH,2012,1971,2880
Mike D'Antoni,NYK,2012,1951,1527
Mike Woodson,NYK,2012,1958,1954
Scott Brooks,OKC,2012,1965,2465
Stan Van Gundy,ORL,2012,1959,NA
Doug Collins,PHI,2012,1951,1499
Alvin Gentry,PHO,2012,1954,NA
Nate McMillan,POR,2012,1964,2329
Kaleb Canales,POR,2012,1978,NA
Paul Westphal,SAC,2012,1950,1469
Keith Smart,SAC,2012,1964,2440
Gregg Popovich,SAS,2012,1949,NA
Dwane Casey,TOR,2012,1957,NA
Tyrone Corbin,UTA,2012,1962,2274
Flip Saunders,WAS,2012,1955,NA
Randy Wittman,WAS,2012,1959,2144
Larry Drew,ATL,2011,1958,1941
Doc Rivers,BOS,2011,1961,2118
Larry Brown,CHA,2011,1940,998
Paul Silas,CHA,2011,1943,834
Tom Thibodeau,CHI,2011,1958,NA
Byron Scott,CLE,2011,1961,2107
Rick Carlisle,DAL,2011,1959,2200
George Karl,DEN,2011,1951,1505
John Kuester,DET,2011,1955,1760
Keith Smart,GSW,2011,1964,2440
Rick Adelman,HOU,2011,1946,1139
Jim O'Brien,IND,2011,1952,1510
Frank Vogel,IND,2011,1973,NA
Vinny Del Negro,LAC,2011,1966,2475
Phil Jackson,LAL,2011,1945,1021
Lionel Hollins,MEM,2011,1953,1670
Erik Spoelstra,MIA,2011,1970,NA
Scott Skiles,MIL,2011,1964,2338
Kurt Rambis,MIN,2011,1958,2017
Avery Johnson,NJN,2011,1965,2406
Monty Williams,NOH,2011,1971,2880
Mike D'Antoni,NYK,2011,1951,1527
Scott Brooks,OKC,2011,1965,2465
Stan Van Gundy,ORL,2011,1959,NA
Doug Collins,PHI,2011,1951,1499
Alvin Gentry,PHO,2011,1954,NA
Nate McMillan,POR,2011,1964,2329
Paul Westphal,SAC,2011,1950,1469
